ID,素材强度,类别,经历/项目,时间,角色,我做了什么,为什么重要,怎么做的,结果/影响,数字指标,能证明的能力,适合岗位（推断）,可直接调用 Bullet（中文）,English Bullet / Draft,可信度,状态
A001,A,AI 产品/项目,OPC 业务架构与证据诊断,2026.03-至今,AI Native 产品经理,将会议、XMind、Figma 包、截图/OCR、Excel 整理为证据库和诊断运行包。,复杂业务材料分散，团队容易反复翻找和重复确认。,按业务链路与状态口径整理证据，形成可诊断、可追溯的运行包。,减少人工翻找、重复确认和会议对齐时间。,,"业务架构, 证据化诊断, 复杂需求拆解, 项目对齐","AI Native 产品经理, 解决方案产品, 项目交付, 业务分析",围绕 OPC SaaS 多租户与招商协同链路，建立业务拆解和状态判断口径，将会议、XMind、Figma 包、OCR 与 Excel 整理为证据库和诊断运行包，减少人工翻找与重复对齐。,"Built business-status definitions and an evidence library for OPC SaaS multi-tenant and channel-collaboration flows, converting meetings, XMind maps, Figma packages, OCR and spreadsheets into a diagnosis package.",原文明确,可用
A002,A,AI 产品/项目,Figma Make 工作区治理,2026.03-至今,AI Native 产品经理,明确入口、组件、按钮、数据来源、接口缺口和待确认事项。,避免把 Figma/md 草稿误判为已完成，降低验收误差。,把工作区拆成规则、入口、组件、数据源、接口缺口和待确认项。,形成 Figma Make 工作区规则和供应商管理规则。,6 个 OPC 工作区,"Figma 治理, 验收规则, 状态模型, 交互诊断","AI Native 产品经理, Figma Make 产品/运营, 交付 PM",为 6 个 OPC 工作区建立全局规则与供应商管理规则，用“材料有/页面有/交互有/闭环有”四层状态统一验收口径，明确入口、组件、数据源、接口缺口和待确认事项。,"Created global and supplier-management rules for 6 OPC Figma Make workspaces, using a four-layer status model to align acceptance criteria and surface API/data gaps.",原文明确,可用
A003,A,AI 提效/测算,供应商管理/批量 AI 优化方案测算,2026.03-至今,AI Native 产品经理,沉淀效率提升和上货提效的价值口径，用于内部产品判断和方案沟通。,让 AI 提效方案从感觉判断变成可沟通的数字口径。,对比人工处理 10 个产品的时间与批量 AI 优化耗时，并拆出单个上货时间差异。,形成可用于产品判断和方案沟通的效率叙事。,人工优化 10 个产品 20-30 小时；批量 AI 优化约 50-60 分钟；上货 30 分钟/个 -> 3 分钟/个；约 10 倍提升,"AI 提效测算, 价值口径, 方案沟通, 产品判断","AI 产品经理, 增长产品, 解决方案顾问",围绕供应商管理和批量 AI 优化方案，整理“10 个产品人工优化 20-30 小时 vs AI 批量优化 50-60 分钟”“上货 30 分钟/个降至 3 分钟/个”的效率口径，支撑内部产品判断与方案沟通。,"Developed efficiency narratives for supplier-management AI optimization, comparing 20-30 hours of manual work for 10 products with 50-60 minutes of batch AI optimization and a 10x listing-speed improvement.",原文明确,待核实
A004,A,AI 工作流/知识资产,AI 战略报告 / Skill 生产线,2026.03-至今,AI Native 产品经理,把项目线索、聊天记录、会议纪要转成 Agent 访谈协议、报告结构模板、HTML 作战卡和三类输出版本。,让项目诊断和战略报告从一次性人工整理变成可复用流程。,将输入材料、访谈协议、报告模板、输出版本拆成可复用 Skill。,形成董事长判断版、团队作战卡、外部沟通版三类输出。,2 类 Skill；3 类输出版本,"Agent 工作流设计, 报告产品化, 结构化访谈, HTML 作战卡","AI Native 产品经理, AI 应用架构师, 战略/项目 PM",设计董事长诊断端与 strategy-report-builder 两类 Skill，将项目线索、聊天记录和会议纪要转成 Agent 访谈协议、报告结构模板、HTML 作战卡，并沉淀为董事长判断版、团队作战卡、外部沟通版三类输出。,"Designed Chairman-diagnosis and strategy-report-builder Skills that turn project signals, chats and meeting notes into agent interview protocols, report templates, HTML action cards and three audience-specific outputs.",原文明确,可用
A005,A,解决方案/需求转译,OLOFamily B 端货代需求转译,2025.07-2025.12,产品经理（AI 辅助 B 端增长/解决方案）,梳理“找货代/看运价 -> 公司详情 -> 私聊对接”等关键链路表达。,把模糊业务需求转成产研可理解、可验收的产品表达。,结合 GPT、Figma、PRD 和验收清单组织需求包。,形成关键链路原型、交互说明和验收材料。,,"需求分析, PRD, Figma 原型, 业务-工程翻译, 验收清单","产品经理, Solution PM, 售前解决方案, B 端产品",用 GPT 辅助拆解 B 端货代需求，围绕“找货代/看运价 -> 公司详情 -> 私聊对接”关键链路沉淀 PRD、交互说明、验收清单与 Figma 原型。,"Used GPT to break down B2B freight-forwarding requirements into PRDs, interaction notes, acceptance checklists and Figma prototypes for flows such as supplier/rate discovery, company profiles and 1:1 chat.",原文明确,可用
A006,A,增长/社群,OLOFamily AI 辅助增长外联与社群矩阵,2025.07-2025.12,产品经理（增长/解决方案）,通过社群运营、客户分层、活动/信息撮合和外联节奏支持中小货代客户开发。,提升 B 端客户触达、匹配和转化效率。,构建 ICP、多渠道触达话术、3 天高频到周/月节奏、轻量 CRM 状态回写。,促成 1v1 对接/洽谈，并沉淀增长外联流水线。,"10 个群；4,224+ 成员（新版本）；旧版本提到 1,500+ B 端客户；GMV 约 20 万","B 端增长, 社群运营, ICP, 外联节奏, CRM 字段","增长产品经理, 社群产品经理, Solution PM, 客户运营",运营微信/WhatsApp 10 个社群矩阵并沉淀增长外联流水线，结合 ICP、多渠道触达话术、跟进节奏和轻量 CRM 状态回写，导流 1v1 对接并促成约 20 万 GMV。,"Operated a 10-group WeChat/WhatsApp community matrix and built an outreach pipeline with ICPs, multi-channel scripts, follow-up cadence and light CRM write-back, driving 1:1 matching and about RMB 200K GMV.",版本差异,待核实
A007,A,AI 产品/知识库,内部 AI 培训助手 / FAQ 知识库,2025.07-2025.12,产品经理（增长/社区产品）,与销售和技术团队优化问答脚本与模型效果，替代重复培训和答疑。,新人培训和客户/销售重复答疑占用老员工时间。,搭建知识库结构、场景问答、标签/FAQ 体系和问答闭环。,替代约 70% 重复答疑/培训，一次解决率提升至 73.6%。,替代约 70% 重复答疑；一次解决率 73.6%；年节省人力约 5 万；旧版提到支撑会员销售额约 50 万,"AI 知识库, 问答流程, 成本节省, 销售赋能, 用户支持","AI 产品经理, 知识库产品, 客服/销售赋能产品, 社群产品",主导内部 AI 培训助手 0-1，设计知识库结构、场景问答和 FAQ 闭环，替代约 70% 重复培训/答疑，将一次解决率提升至 73.6%，年节省人力约 5 万元。,"Led a 0-to-1 internal AI onboarding assistant, designing KB structure and scenario Q&A flows that replaced about 70% of repetitive support, reached 73.6% first-contact resolution and saved roughly RMB 50K annually.",原文明确,可用
A008,B,商业化/交付标准化,OGM/OPM 会员权益与广告交付 SOP,2025.07-2025.12,产品经理（增长/解决方案）,把会员权益、峰会票、服务报告包装为可售卖、可交付、可验收的产品包。,解决“卖什么、怎么交付、如何验收”口径不一致的问题。,梳理权益清单、交付边界、验收清单、半年度服务报告模板。,支持销售可售、运营可交付、客户可验收。,,"商业化包装, 交付 SOP, 权益设计, 销售赋能, 服务报告","解决方案产品, 商业化产品, 售前解决方案, 客户成功",梳理 OPM/OGM 会员权益、广告资源位和交付边界，将峰会票、会员权益与服务报告包装为可售卖、可交付、可验收的产品包，并输出 SOP、权益矩阵和半年度服务报告模板。,"Standardized OPM/OGM benefits, ad inventory and delivery scope into sellable and verifiable packages, producing SOPs, benefits matrices and semiannual service-report templates.",原文明确,可用
A009,B,数据/效果监控,推广效果监控与异常诊断,2025.07-2025.12,产品经理（增长/社区产品）,联动产研/运营推进修复与验证。,广告/推广交付需要可解释、可复盘的效果口径。,定义指标口径并围绕异常状态做诊断和回归验证。,形成推广效果异常诊断能力。,曝光、点击、到店、线索；0 曝光/不起量/掉量/超成本,"指标口径, 异常诊断, 数据驱动运营, 产研协同","增长产品, 数据产品经理, 广告运营产品, 客户成功",搭建曝光、点击、到店、线索等推广监控口径，独立排查“0 曝光/不起量/掉量/超成本”等异常，并联动产研与运营完成修复和回归验证。,"Defined promotion metrics such as impressions, clicks, store visits and leads, diagnosed 0-impression, low-volume, drop and over-cost issues, and coordinated fixes with engineering and operations.",原文明确,可用
A010,B,产品改版/信息架构,官网国际站与 App 重构,2025.07-2025.12,产品经理（增长向）,围绕权益展示、转化路径和会员客户便携使用需求设计改版方案。,原官网结构不清晰，浏览曝光量少，转化广告客户效率不足。,重构信息架构、权益展示、关键功能和转化路径。,预期提升网站 PV/UV 并带动相关业务收入。,预计 PV/UV +50%；收入影响约 30 万；旧版提到每月新增收益约 10 万为竞对/商业模式建议,"信息架构, 转化路径, 原型/功能方案, 增长产品","产品经理, 增长产品, B 端产品",参与官网国际站与 App 重构，输出信息架构、权益展示和转化路径方案，预期提升网站 PV/UV 50%，并带动相关业务收入约 30 万元。,"Contributed to website and app redesign by delivering information architecture, benefits display and conversion-path plans, with expected PV/UV uplift of 50% and about RMB 300K revenue impact.",待核实,待补充
